5320,69,-2.3,"83,424",61.5,146506.8648,7316.912861,0.002254703,121776637.5,0.061297117,0.962856781,-0.496291554,-0.171789137,6.533765547,-1.026825935,,43.06417,141.34694,1.255521529,0.599203112,1.144375737,0.39632571
1278,136,-4.7,"9,646",64.5625,42776.2265,5740.486877,0.158053707,74866.75299,0.039652355,-0.520276178,-0.439589497,-1.43831297,0.162004119,0.825869245,,40.82444,140.74,0.630122208,0.469979915,0.810716389,0.350998181
1255,84,-3.8,"15,275",62.2875,44175.22831,6947.385926,0.070905676,1198350.428,0.01761297,-0.528715579,-0.483597064,-0.963366533,0.64814694,-0.550418603,,39.70361,141.1525,0.397293867,0.556098498,0.643742955,0.38180453
2323,321,-0.6,"6,859",62.4125,2958.840806,2379.583753,0.040194947,17664.49269,0.01310584,-0.136833837,-0.283024115,0.725331912,-0.078692282,-0.474798391,,38.26889,140.87194,0.177272235,0.496737738,0.43000838,0.360851732
996,88,-5.8,"11,638",67.7125,61483.20522,6850.462431,0.311376477,318300.1545,0.433758851,-0.623750571,-0.480211866,-2.018803061,0.334041159,2.731498573,,39.71861,140.1025,0.40005687,0.351129581,0.645977551,0.303388368
1102,121,-3.9,"6,652",62.5875,54054.56783,6076.822323,0.078886663,26602.22606,0.00791288,-0.584855941,-0.452283987,-1.016138359,-0.096569626,-0.368930095,,38.24056,140.36333,0.173809562,0.397666254,0.425787974,0.322867689
1882,139,-5.7,"13,784",61.75,14094.83945,5674.368724,0.295310384,769492.5257,0.044570092,-0.298650174,-0.437050599,-1.966031234,0.519378252,-0.875585512,,37.75,140.46778,0.119266076,0.417113753,0.352707768,0.33066823
2892,478,-1.8,"6,097",63.6875,818.0716797,669.783391,0.000647641,59563.79917,0.005111838,0.0719496,-0.150155115,0.092069995,-0.144501632,0.296527765,,36.34139,140.44667,0.019567064,0.41314586,0.142862878,0.329091692
1957,308,-1.7,"6,408",61.6625,11616.91957,2568.180856,0.001602824,39478.88699,0.050122024,-0.271130389,-0.294026006,0.144841821,-0.117642436,-0.92851966,,36.56583,139.88361,0.029797755,0.314309912,0.176298384,0.287041212
1960,310,-1.7,"6,362",63.4125,11522.7815,2538.697832,0.001602824,42190.284,0.000984971,-0.270029598,-0.292333408,0.144841821,-0.121615179,0.1301633,,36.39111,139.06083,0.021648629,0.194144833,0.150269817,0.225594307
7310,1913,1,"3,768",61.8125,452974.0717,33648.79878,0.188243838,340795.03,0.040803894,1.693048416,1.064284472,1.569681134,-0.345643333,-0.837775406,,35.85694,139.64889,0.004791135,0.277092813,0.070692898,0.269511839
6246,1207,0.1,"5,083",62.475,268151.1545,6473.072209,0.091562082,153635.8245,0.01110161,1.302634396,0.466797121,1.094734696,-0.232074704,-0.436988286,,35.60472,140.12333,0.001051573,0.354739654,0.033118922,0.304943995
